日期,星期,频道,开始时间,结束时间,商品ID,商品名称,售价,原价,活动标签,是否直播,商品链接,商品图片
2026-04-23,周四,优购物,07:10,07:49,818536,泰国原装进口娜帕蒂卡人参洗发水,399,399,有赠品,否,https://www.huimai.com.cn/goods-818536.html,https://assets.ugoshop.com/proimage/8c058638daa03be32aaa18f525c86d46.jpg!p450
2026-04-23,周四,优购物,07:50,08:19,881278,一品玉鲜蒸蜜桃干,198,198,,否,https://www.huimai.com.cn/goods-881278.html,https://assets.ugoshop.com/proimage/25455340d4dba0b91e5f2b16a13e20f9.jpg!p450
2026-04-23,周四,优购物,08:20,08:59,870889,natures gem益生菌冻干粉畅活30000亿尊享组,299,399,限时降价,是,https://www.huimai.com.cn/goods-870889.html,https://assets.ugoshop.com/proimage/18b3af9147ac2d031d932036a691d0e8.png!p450
2026-04-23,周四,优购物,09:00,09:29,884880,希源体石墨烯毛巾浴巾组,239,239,,否,https://www.huimai.com.cn/goods-884880.html,https://assets.ugoshop.com/proimage/39b0835b21e2425c61eb9602dd40f311.jpg!p450
2026-04-23,周四,优购物,09:30,10:09,882064,维众高档床单秒杀（新）,198,198,,否,https://www.huimai.com.cn/goods-882064.html,https://assets.ugoshop.com/proimage/5b06645ba2de58d6983fd5d16f775fd5.jpg!p450
2026-04-23,周四,优购物,10:10,10:49,835307,岭上嘎仙紫苏籽油超值装,398,398,有赠品,否,https://www.huimai.com.cn/goods-835307.html,https://assets.ugoshop.com/proimage/8bd792110551a084b12978ac6ab777b8.jpg!p450
2026-04-23,周四,优购物,10:50,11:19,798854,德世朗钛健康保鲜盒惠选款,299,299,,否,https://www.huimai.com.cn/goods-798854.html,https://assets.ugoshop.com/proimage/ea438472edbca6f41b38bf70d3400e60.jpg!p450
2026-04-23,周四,优购物,11:20,11:49,887650,麦肯华威闪穿轻便运动鞋·米色,198,198,,否,https://www.huimai.com.cn/goods-887650.html,https://assets.ugoshop.com/proimage/b6ca3c87538d1dfd9c91dcf25a8ab08d.jpg!p450
2026-04-23,周四,优购物,11:50,12:39,883147,诺惠德国原装进口辅酶Q10优享组,999,999,,否,https://www.huimai.com.cn/goods-883147.html,https://assets.ugoshop.com/proimage/6d54b789bedc28da179185e5eb7fd9e5.JPG!p450
2026-04-23,周四,优购物,12:40,13:19,888147,自然之臻有机黑山羊奶粉营养超值组,598,598,,否,https://www.huimai.com.cn/goods-888147.html,https://assets.ugoshop.com/proimage/64064ebf0c5cfdc1533dd8fc52b31c69.jpg!p450
2026-04-23,周四,优购物,13:20,13:59,888846,维众元宝纹汉麻凉席三件套（新）,1999,1999,,否,https://www.huimai.com.cn/goods-888846.html,https://assets.ugoshop.com/proimage/f81a4c98b92e79c90201f42e27443fae.jpg!p450
2026-04-23,周四,优购物,14:00,14:39,888279,RifugioVo汉麻棉前开扣舒适文胸·奶咖色、浅紫色各1个,299,299,,否,https://www.huimai.com.cn/goods-888279.html,https://assets.ugoshop.com/proimage/38e5068f5ce1bbc68f7d51a303411120.jpg!p450
2026-04-23,周四,优购物,14:40,15:19,824614,雪肌态智研抗皱精华液,499,798,有赠品|有赠品,否,https://www.huimai.com.cn/goods-824614.html,https://assets.ugoshop.com/proimage/aa1619921100f8eb7059952bf3010e28.png!p450
2026-04-23,周四,优购物,15:20,15:59,887659,鳄鱼恤男士香云纱上衣·黑花,599,599,,否,https://www.huimai.com.cn/goods-887659.html,https://assets.ugoshop.com/proimage/7306e6b080dffa5ac6a130dbe61a9484.jpg!p450
2026-04-23,周四,优购物,16:00,16:49,878252,自然之臻阿拉善冬季荒漠肉苁蓉100%纯原浆优选组,999,999,有赠品|有赠品,否,https://www.huimai.com.cn/goods-878252.html,https://assets.ugoshop.com/proimage/e3e4fd56e8bd6da022c980526e547cec.jpg!p450
2026-04-23,周四,优购物,16:50,17:29,858984,双极水抗菌液家庭组,399,399,,否,https://www.huimai.com.cn/goods-858984.html,https://assets.ugoshop.com/proimage/8654141ae96e9f6c0aae339db5f53a89.jpg!p450
2026-04-23,周四,优购物,17:30,17:59,801033,古法宫廷八珍糕,198,198,有赠品,否,https://www.huimai.com.cn/goods-801033.html,https://assets.ugoshop.com/proimage/bd0113fff62d076c06b18ce522c52612.jpg!p450
2026-04-23,周四,优购物,18:00,18:49,883135,诺惠德国姜皇植物饮料优享组,899,899,,否,https://www.huimai.com.cn/goods-883135.html,https://assets.ugoshop.com/proimage/22ecf5296f886363e8d102328229750c.jpg!p450
2026-04-23,周四,优购物,18:50,19:29,835307,岭上嘎仙紫苏籽油超值装,398,398,有赠品,否,https://www.huimai.com.cn/goods-835307.html,https://assets.ugoshop.com/proimage/8bd792110551a084b12978ac6ab777b8.jpg!p450
2026-04-23,周四,优购物,19:30,20:19,885954,自然之臻黑番茄原浆臻享组,699,699,满2件减100,否,https://www.huimai.com.cn/goods-885954.html,https://assets.ugoshop.com/proimage/1a0ab4dc7852a88854a23af82f726abc.jpg!p450
2026-04-23,周四,优购物,20:20,21:09,883147,诺惠德国原装进口辅酶Q10优享组,999,999,,否,https://www.huimai.com.cn/goods-883147.html,https://assets.ugoshop.com/proimage/6d54b789bedc28da179185e5eb7fd9e5.JPG!p450
2026-04-23,周四,优购物,21:10,21:59,863588,chritsniroid(克里斯诺德）轻型便携电动轮椅车,2680,2680,有赠品,否,https://www.huimai.com.cn/goods-863588.html,https://assets.ugoshop.com/proimage/b626f5812fee9deb346bb2115d55ef44.jpg!p450
2026-04-23,周四,优购物,22:00,22:49,878170,JJRMI智能马桶一体机组·白,1999,1999,有赠品,否,https://www.huimai.com.cn/goods-878170.html,https://assets.ugoshop.com/proimage/982e0bb0f056c16c25f5df454c7ee61b.jpg!p450
2026-04-23,周四,优购物,22:50,23:29,870889,natures gem益生菌冻干粉畅活30000亿尊享组,299,399,限时降价,是,https://www.huimai.com.cn/goods-870889.html,https://assets.ugoshop.com/proimage/18b3af9147ac2d031d932036a691d0e8.png!p450
2026-04-23,周四,优购物,23:30,23:59,873671,鲜香美味卤乌鸡胗惠选款,198,198,,否,https://www.huimai.com.cn/goods-873671.html,https://assets.ugoshop.com/proimage/5a5ee1991f3256d966ab457ae5cb4fee.jpg!p450
2026-04-22,周三,优购物,00:00,00:39,856736,火菲尔纯钛微压锅炒菜锅不粘锅无涂层龙卷风锻打家用燃气灶电磁炉通用蒸炒锅,699,699,有赠品,否,https://www.huimai.com.cn/goods-856736.html,https://assets.ugoshop.com/proimage/32c8ede1daec0cc75151581c018fdf35.jpg!p450
2026-04-22,周三,优购物,00:40,01:29,795434,李时珍膏方集团五指毛桃茯芷膏,699,699,,否,https://www.huimai.com.cn/goods-795434.html,https://assets.ugoshop.com/proimage/2336449b28a784234370e29e4335a6e7.jpg!p450
2026-04-22,周三,优购物,01:30,02:09,876256,Healthwow多维营养蛋白粉优选组,479,599,限时降价,否,https://www.huimai.com.cn/goods-876256.html,https://assets.ugoshop.com/proimage/faf25e598cb1002805351973dcf447ab.png!p450
2026-04-22,周三,优购物,02:10,02:49,872703,宝基堂泰国原装进口燕窝饮超值组,699,699,有赠品,否,https://www.huimai.com.cn/goods-872703.html,https://assets.ugoshop.com/proimage/35c2229c81a17830fa55de090bab7414.jpg!p450
2026-04-22,周三,优购物,02:50,03:29,814868,自然之臻有机中宁红枸杞原浆超值组,399,399,有赠品,否,https://www.huimai.com.cn/goods-814868.html,https://assets.ugoshop.com/proimage/51690aa2171fb4efa242c8bd449b29a4.jpg!p450
2026-04-22,周三,优购物,03:30,04:09,865231,YOHOKA纯钛多功能养生壶（新）,499,499,,否,https://www.huimai.com.cn/goods-865231.html,https://assets.ugoshop.com/proimage/d4c1cc63d904093f46a7d5c59ab9af4d.jpg!p450
2026-04-22,周三,优购物,04:10,04:49,829706,雪肌态智研抗 皱面霜专享组,499,798,有赠品|有赠品,否,https://www.huimai.com.cn/goods-829706.html,https://assets.ugoshop.com/proimage/25c16f8f6013dd82d5f05063b0a7975d.png!p450
2026-04-22,周三,优购物,04:50,05:39,875060,chritsniroid零重力豪华按摩椅·白棕,2299,2299,,否,https://www.huimai.com.cn/goods-875060.html,https://assets.ugoshop.com/proimage/f9a5ea0c88c94a8f7d981f720e650ec2.jpg!p450
2026-04-22,周三,优购物,05:40,06:29,878252,自然之臻阿拉善冬季荒漠肉苁蓉100%纯原浆优选组,999,999,有赠品|有赠品,否,https://www.huimai.com.cn/goods-878252.html,https://assets.ugoshop.com/proimage/e3e4fd56e8bd6da022c980526e547cec.jpg!p450
2026-04-22,周三,优购物,06:30,07:09,876256,Healthwow多维营养蛋白粉优选组,479,599,限时降价,否,https://www.huimai.com.cn/goods-876256.html,https://assets.ugoshop.com/proimage/faf25e598cb1002805351973dcf447ab.png!p450
2026-04-22,周三,优购物,07:10,07:49,824708,自然之臻有机九华黄精果,499,599,限时降价|满2件减200,否,https://www.huimai.com.cn/goods-824708.html,https://assets.ugoshop.com/proimage/b7170ebb1bba9442c7413b52c69a7df3.jpg!p450
2026-04-22,周三,优购物,07:50,08:29,856736,火菲尔纯钛微压锅炒菜锅不粘锅无涂层龙卷风锻打家用燃气灶电磁炉通用蒸炒锅,699,699,有赠品,否,https://www.huimai.com.cn/goods-856736.html,https://assets.ugoshop.com/proimage/32c8ede1daec0cc75151581c018fdf35.jpg!p450
2026-04-22,周三,优购物,08:30,08:59,784995,日本品牌Pansy男士网面透气休闲鞋,249,298,限时降价,否,https://www.huimai.com.cn/goods-784995.html,https://assets.ugoshop.com/proimage/368dab2d61c967c51654051f71e1df30.jpg!p450
2026-04-22,周三,优购物,09:00,09:19,885057,江中猴姑宝基堂经典0糖酥性饼干尊享组,159,159,,否,https://www.huimai.com.cn/goods-885057.html,https://assets.ugoshop.com/proimage/980b6fde98b4c4acf85eac8e2cab76a3.jpg!p450
2026-04-22,周三,优购物,09:20,09:59,874751,自然之臻怀山堂铁棍怀山药粉超值组,299,299,满2件减100,否,https://www.huimai.com.cn/goods-874751.html,https://assets.ugoshop.com/proimage/c2fceec5cdc03c811f7a355e2b8ae860.png!p450
2026-04-22,周三,优购物,10:00,10:39,799169,华家那女士100精纺丝光羊毛开衫·中灰紫,254,299,限时降价,否,https://www.huimai.com.cn/goods-799169.html,https://assets.ugoshop.com/proimage/4d1a8639b204d26a865937159b18d31b.jpg!p450
2026-04-22,周三,优购物,10:40,11:19,877140,维众汉麻女士内裤新,198,198,,否,https://www.huimai.com.cn/goods-877140.html,https://assets.ugoshop.com/proimage/17f62901f4bbe2dc7181ce113f3c3cbe.jpg!p450
2026-04-22,周三,优购物,11:20,12:09,820433,自然之臻新疆有机纯驼乳粉新款,999,1098,有赠品|有赠品,否,https://www.huimai.com.cn/goods-820433.html,https://assets.ugoshop.com/proimage/8dc585e67b3db62d1500b880b49e1b64.png!p450
2026-04-22,周三,优购物,12:10,12:49,885041,维众罗布麻双人被,599,599,,否,https://www.huimai.com.cn/goods-885041.html,https://assets.ugoshop.com/proimage/2ae1dafad4cec83f790dfebad141e543.jpg!p450
2026-04-22,周三,优购物,12:50,13:19,697784,奢奈莎砂洗大长腿阔腿裤,263,399,限时降价,否,https://www.huimai.com.cn/goods-697784.html,https://assets.ugoshop.com/proimage/c0181a4ec035fd3f52121af93702e02e.jpg!p450
2026-04-22,周三,优购物,13:20,13:59,884761,驰萱汉麻棉家居服套装女·雨露色,299,299,,否,https://www.huimai.com.cn/goods-884761.html,https://assets.ugoshop.com/proimage/a9dad54e2e6296551cd48a597fe1a60e.jpg!p450
2026-04-22,周三,优购物,14:00,14:29,888033,自然之臻黄精红枣黑芝麻丸尊享组,99,99,,否,https://www.huimai.com.cn/goods-888033.html,https://assets.ugoshop.com/proimage/4200510799bdd18d78af16dfa5f518f7.png!p450
2026-04-22,周三,优购物,14:30,14:59,886996,Pansy男士免系带运动休闲鞋·深灰色,298,298,有赠品,否,https://www.huimai.com.cn/goods-886996.html,https://assets.ugoshop.com/proimage/fba712014aa708abc0f817045f629b72.jpg!p450
2026-04-22,周三,优购物,15:00,15:29,876263,梦幻草原内蒙鹿肉蘑菇酱混合家庭组,199,199,,否,https://www.huimai.com.cn/goods-876263.html,https://assets.ugoshop.com/proimage/c5ee5dd0494b145d4108f4beeec01b09.jpg!p450
2026-04-22,周三,优购物,15:30,16:09,876739,美国KEMIN原料Healthwow高含量12mg叶黄素酯超值组,399,499,限时降价,否,https://www.huimai.com.cn/goods-876739.html,https://assets.ugoshop.com/proimage/0e9373de64b2be73e005af4bff674643.jpg!p450
2026-04-22,周三,优购物,16:10,16:49,874863,LECEA富硒纯钛焖茶壶·流光紫,799,799,有赠品,否,https://www.huimai.com.cn/goods-874863.html,https://assets.ugoshop.com/proimage/d4f7352ccb5646970bb41433fd7946fc.jpg!p450
2026-04-22,周三,优购物,16:50,17:29,872703,宝基堂泰国原装进口燕窝饮超值组,699,699,有赠品,否,https://www.huimai.com.cn/goods-872703.html,https://assets.ugoshop.com/proimage/35c2229c81a17830fa55de090bab7414.jpg!p450
2026-04-22,周三,优购物,17:30,18:09,884880,希源体石墨烯毛巾浴巾组,239,239,,否,https://www.huimai.com.cn/goods-884880.html,https://assets.ugoshop.com/proimage/39b0835b21e2425c61eb9602dd40f311.jpg!p450
2026-04-22,周三,优购物,18:10,18:39,798854,德世朗钛健康保鲜盒惠选款,299,299,,否,https://www.huimai.com.cn/goods-798854.html,https://assets.ugoshop.com/proimage/ea438472edbca6f41b38bf70d3400e60.jpg!p450
2026-04-22,周三,优购物,18:40,19:29,883147,诺惠德国原装进口辅酶Q10优享组,999,999,,否,https://www.huimai.com.cn/goods-883147.html,https://assets.ugoshop.com/proimage/6d54b789bedc28da179185e5eb7fd9e5.JPG!p450
2026-04-22,周三,优购物,19:30,20:09,835236,澳洲檀香精油,799,799,有赠品,否,https://www.huimai.com.cn/goods-835236.html,https://assets.ugoshop.com/proimage/0f4cc2884e921d73be5faf1ba1840427.jpg!p450
2026-04-22,周三,优购物,20:10,20:59,888328,瑞士沛珀星欧式复古黑胶留声机,1999,1999,,否,https://www.huimai.com.cn/goods-888328.html,https://assets.ugoshop.com/proimage/857b76652e598ffcd0ed391ae8794e95.jpg!p450
2026-04-22,周三,优购物,21:00,21:49,875060,chritsniroid零重力豪华按摩椅·白棕,2299,2299,,否,https://www.huimai.com.cn/goods-875060.html,https://assets.ugoshop.com/proimage/f9a5ea0c88c94a8f7d981f720e650ec2.jpg!p450
2026-04-22,周三,优购物,21:50,22:39,820433,自然之臻新疆有机纯驼乳粉新款,999,1098,有赠品|有赠品,否,https://www.huimai.com.cn/goods-820433.html,https://assets.ugoshop.com/proimage/8dc585e67b3db62d1500b880b49e1b64.png!p450
2026-04-22,周三,优购物,22:40,23:19,879598,自然之臻黄芪原液尊享组,399,499,限时降价,否,https://www.huimai.com.cn/goods-879598.html,https://assets.ugoshop.com/proimage/d0973c15564601ebca00f4fb24ae4e6f.jpg!p450
2026-04-21,周二,优购物,00:00,00:39,856104,DR.MEIWOKEY麦维肯霍罗皮托皮肤保健膏,499,499,,否,https://www.huimai.com.cn/goods-856104.html,https://assets.ugoshop.com/proimage/87efce77d9063e9267f8e75b1a07a06a.jpg!p450
2026-04-21,周二,优购物,00:40,01:19,858984,双极水抗菌液家庭组,399,399,,否,https://www.huimai.com.cn/goods-858984.html,https://assets.ugoshop.com/proimage/8654141ae96e9f6c0aae339db5f53a89.jpg!p450
2026-04-21,周二,优购物,01:20,02:09,878253,法尔诺德牌(原装进口)辅酶Q10软胶囊超值组,999,999,有赠品,否,https://www.huimai.com.cn/goods-878253.html,https://assets.ugoshop.com/proimage/5828d094415dc064a798b623de22e8a7.png!p450
2026-04-21,周二,优购物,02:10,02:49,814868,自然之臻有机中宁红枸杞原浆超值组,399,399,有赠品,否,https://www.huimai.com.cn/goods-814868.html,https://assets.ugoshop.com/proimage/51690aa2171fb4efa242c8bd449b29a4.jpg!p450
2026-04-21,周二,优购物,02:50,03:29,820433,自然之臻新疆有机纯驼乳粉新款,999,1098,有赠品|有赠品,否,https://www.huimai.com.cn/goods-820433.html,https://assets.ugoshop.com/proimage/8dc585e67b3db62d1500b880b49e1b64.png!p450
2026-04-21,周二,优购物,03:30,04:09,858980,泰国原装进口TIGERBR鳄鱼按摩膏,399,399,,否,https://www.huimai.com.cn/goods-858980.html,https://assets.ugoshop.com/proimage/9865735e027a8b5dbcd67d223cd53973.jpg!p450
2026-04-21,周二,优购物,04:10,04:49,864702,Florinda芙琳芳达迪拜驼奶精油皂,299,399,有赠品|有赠品,否,https://www.huimai.com.cn/goods-864702.html,https://assets.ugoshop.com/proimage/680db20d8ab0f5316a4b22b919f289b6.jpg!p450
2026-04-21,周二,优购物,04:50,05:29,874751,自然之臻怀山堂铁棍怀山药粉超值组,299,299,满2件减100,否,https://www.huimai.com.cn/goods-874751.html,https://assets.ugoshop.com/proimage/c2fceec5cdc03c811f7a355e2b8ae860.png!p450
2026-04-21,周二,优购物,05:30,06:19,804337,LECEA纯钛真空养生杯,199,199,,否,https://www.huimai.com.cn/goods-804337.html,https://assets.ugoshop.com/proimage/b8e54aaf980699da7f6398497679d318.jpg!p450
2026-04-21,周二,优购物,06:20,07:09,861424,帕米便携式氢 氧一体机超值组(新）,999,999,,否,https://www.huimai.com.cn/goods-861424.html,https://assets.ugoshop.com/proimage/3a306200d318e89a9a997917dbf53ce7.jpg!p450
2026-04-21,周二,优购物,07:10,07:49,835307,岭上嘎仙紫苏籽油超值装,398,398,有赠品,否,https://www.huimai.com.cn/goods-835307.html,https://assets.ugoshop.com/proimage/8bd792110551a084b12978ac6ab777b8.jpg!p450
2026-04-21,周二,优购物,07:50,08:29,856104,DR.MEIWOKEY麦维肯霍罗皮托皮肤保健膏,499,499,,否,https://www.huimai.com.cn/goods-856104.html,https://assets.ugoshop.com/proimage/87efce77d9063e9267f8e75b1a07a06a.jpg!p450
2026-04-21,周二,优购物,08:30,08:59,881278,一品玉鲜蒸蜜桃干,198,198,,否,https://www.huimai.com.cn/goods-881278.html,https://assets.ugoshop.com/proimage/25455340d4dba0b91e5f2b16a13e20f9.jpg!p450
2026-04-21,周二,优购物,09:00,09:39,884880,希源体石墨烯毛巾浴巾组,239,239,,否,https://www.huimai.com.cn/goods-884880.html,https://assets.ugoshop.com/proimage/39b0835b21e2425c61eb9602dd40f311.jpg!p450
2026-04-21,周二,优购物,09:40,10:09,887546,爱纱丽特家居休闲裤,198,198,有赠品,否,https://www.huimai.com.cn/goods-887546.html,https://assets.ugoshop.com/proimage/ef9b9fd38ce0760338320f945ac86386.jpg!p450
2026-04-21,周二,优购物,10:10,10:59,882934,自然之臻黑番茄原浆会员至尊组,969,969,,否,https://www.huimai.com.cn/goods-882934.html,https://assets.ugoshop.com/proimage/c7c08112c7bfd4ecd86e9050542160be.png!p450
2026-04-21,周二,优购物,11:00,11:49,807704,【会员福利】LECEA纯钛焕彩筷子尊享装8双,139,139,,否,https://www.huimai.com.cn/goods-807704.html,https://assets.ugoshop.com/proimage/0c1253ca81fc64d2e59cf7c2f20f6125.jpg!p450
2026-04-21,周二,优购物,11:50,12:29,872703,宝基堂泰国原装进口燕窝饮超值组,699,699,有赠品,否,https://www.huimai.com.cn/goods-872703.html,https://assets.ugoshop.com/proimage/35c2229c81a17830fa55de090bab7414.jpg!p450
2026-04-21,周二,优购物,12:30,13:09,820433,自然之臻新疆有机纯驼乳粉新款,999,1098,有赠品|有赠品,否,https://www.huimai.com.cn/goods-820433.html,https://assets.ugoshop.com/proimage/8dc585e67b3db62d1500b880b49e1b64.png!p450
2026-04-21,周二,优购物,13:10,13:59,883135,诺惠德国姜皇植物饮料优享组,899,899,,否,https://www.huimai.com.cn/goods-883135.html,https://assets.ugoshop.com/proimage/22ecf5296f886363e8d102328229750c.jpg!p450
2026-04-21,周二,优购物,14:00,14:29,822852,RifugioVo丝麻艺术感印花针织上衣活动款·花色,429,429,,否,https://www.huimai.com.cn/goods-822852.html,https://assets.ugoshop.com/proimage/76cbfd89df905b974553f3f31d4f26dd.jpg!p450
2026-04-21,周二,优购物,14:30,15:09,882064,维众高档床单秒杀（新）,198,198,,否,https://www.huimai.com.cn/goods-882064.html,https://assets.ugoshop.com/proimage/5b06645ba2de58d6983fd5d16f775fd5.jpg!p450
